"Year","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"NE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1232.23","1470.68","1475.19","1508.06","1563.15","1460.5","1540.94","1378.98","1286.37","1390.49","1282.87","1419.24","1294.67","1377.29","1484.92","1382.18","1602.44","1577.75","1572.61","1551.24","1585.93","1386.37","1463.69","1507.39","1503.89","1669.71","1598.82","1572.77","1539.62","1435.55","1242.69","1336.67","1283.89","1376.74","1555.77","1454.71","1608.63","1603.84","1521.81","1497.07","1427.46","1661.39","1555.75","1747.56","1816.51","1653.41","1697.03","1824.3","1659.09","1597.61","1711.35","1735.1","1699.97","1684.19","1743.3","1655.63","1778.59"
"MIA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1263.37","1331.92","1373.33","1307.07","1528.4","1622.41","1775.51","1782.52","1697.44","1655.49","1521.8","1631.99","1607.77","1567.2","1506.58","1595.42","1648.72","1636.73","1709.39","1649.25","1563.64","1525","1437.66","1463.88","1592.67","1496.41","1556.07","1500.54","1574.27","1531.67","1484.1","1495.75","1571.68","1511.34","1599.63","1551.33","1541.49","1603.94","1439.12","1515.47","1482.41","1296.08","1518.9","1471.37","1465.26","1495.23","1469.62","1471.41","1472.77","1405.61","1510.28"
"BUF","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1280.86","1331.79","1453.76","1453.13","1648.93","1676","1589.87","1425.08","1274.66","1327.7","1286.96","1243.97","1363.74","1535.08","1508.77","1556.18","1338.55","1321.56","1381.73","1445.24","1558.08","1554.8","1503.75","1448.22","1336.45","1279.81","1300.48","1442.2","1581.5","1563.52","1698.03","1680.71","1638.26","1653.53","1491.73","1511.23","1535.82","1407.85","1532.93","1614.13","1529.4","1367.38","1480.58","1464.85","1601.59","1458.95","1522.53","1462.28","1425.41","1462.15","1407.26","1409.45","1414.55","1431.77","1548.58","1525.71","1473.69"
"NYJ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1278.88","1330.31","1306.98","1322.23","1372.63","1428.02","1450.76","1510.56","1679.7","1602.06","1477.98","1458.1","1465.56","1397.65","1474.12","1347.02","1303.65","1291.83","1477.55","1498.09","1412.2","1542.77","1622.79","1496.13","1401.12","1544.1","1517.67","1432.23","1532.94","1366.25","1379.51","1464.68","1382.61","1486.22","1400.41","1287.48","1245.43","1454.45","1665.14","1595.88","1555.41","1550.66","1603.38","1499.22","1568.1","1422.86","1518.64","1410.51","1472.38","1627.45","1650.91","1515.21","1395.17","1446.08","1407.73","1530.75","1424.85"
"PIT","-","-","-","-","-","-","-","-","-","-","-","-","-","1254.5","1242.79","1329.14","1394.13","1376.74","1313.96","1315.56","1339.72","1334.7","1506.99","-","-","1319.84","1429.74","1486.07","1430.02","1476.27","1514.98","1473.3","1529.79","1476.98","1449.52","1384.81","1437.71","1467.28","1571.37","1545.46","1491.33","1462.36","1503.37","1552.96","1437.64","1280.17","1420.25","1404.04","1306.24","1240.55","1330.55","1392.44","1635.3","1614.82","1718.23","1777.23","1736.34","1621.88","1762.49","1740.1","1600.42","1565.83","1575.55","1526.97","1581.84","1476.18","1480.87","1494.6","1445.64","1552.2","1540.67","1489.49","1514.42","1507.64","1635.43","1624.6","1549.89","1591.66","1483.29","1423.05","1527.61","1653.26","1590.64","1464.44","1688.58","1770.92","1600.35","1575.82","1714.35","1591.09","1657.35","1624.9","1529.52","1553.35","1591.66","1634.54","1645.78"
"BAL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1363.41","1421.53","1422.98","1488.45","1725.53","1606.91","1479.17","1559.08","1569.58","1477.48","1655.71","1436.98","1668.21","1617.55","1665.53","1653.96","1689.81","1542.17","1613.12","1460.75","1484.15"
"CIN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1280.8","1342.96","1492.97","1409.5","1513.15","1603.97","1521.33","1593.26","1639.34","1579.62","1484.57","1453.6","1448.37","1647.74","1592.07","1527.81","1503.36","1497.95","1559.87","1413.64","1612.69","1552.95","1536.97","1378.4","1357.32","1325.75","1313.72","1414.59","1508.07","1490.9","1313.63","1313.04","1318.14","1374.12","1282.06","1423.96","1523.74","1544.71","1556.48","1506.52","1425.41","1496.56","1422.07","1492.6","1578.37","1588.08","1557.4","1615.19","1521.45"
"CLE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1492.84","1641.54","1731.17","1718.46","1740.13","1741.49","1616.2","1679.78","1702.8","1704.16","1531.38","1587.48","1590.84","1602.82","1638.49","1577.07","1524.36","1573.78","1643.09","1576","1576.9","1533.66","1598.47","1627.81","1527.19","1501.29","1553.81","1544.32","1436.22","1394.34","1491.74","1471.18","1473.1","1532.21","1583.61","1417.45","1435.51","1496.5","1441.93","1484.07","1602.52","1654.6","1573.16","1558.85","1335.12","1413.41","1445.54","1441.38","1582.23","1395.84","-","-","-","1195.9","1245.85","1416.86","1484.18","1405.99","1379.06","1404.68","1342.35","1519.28","1382.21","1402.14","1414.18","1364.68","1381.21","1332.8","1380.23","1339.27","1251.15"
"HOU","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1278.64","1323.83","1460.32","1314.65","1398.42","1530.25","1505.63","1566.82","1465.09","1563.51","1593.39","1324.8","1504.43","1506.02","1500.71"
"TEN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1438.69","1596.81","1575.34","1430.79","1386.22","1313.05","1311.91","1509.69","1498.56","1453.96","1350.67","1390.24","1261.93","1217.23","1459.83","1589.19","1466.32","1566.1","1598.56","1616.22","1602.19","1455.9","1351.17","1293.43","1278.78","1311.91","1387.9","1513.9","1580.35","1493.5","1544.85","1591.5","1593.15","1641.55","1379.61","1487.22","1466.76","1520.45","1531.62","1669.9","1653.24","1522.94","1613.55","1664.51","1419.52","1360.26","1489.52","1536.25","1636.91","1550.47","1455.34","1489.14","1434.2","1447.63","1256.47","1271.68","1437.07"
